ref_ID,ref_long,geo_entity_ref,type,subset,taxon_ID,taxon_name,checklist,native_indicated,natural_indicated,end_ref,traits,restricted,proc_date
169,"Fosberg, Stoddart, Sachet & Spellman (1982) Plants of the Belize cays. Atoll Research Bulletin 258, 1–77.",Belize Cays,Checklist,all,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
170,"Fosberg & Sachet (1987) Flora of Maupiti, Society Islands. Atoll Research Bulletin 294, 1–70.",Maupiti,Flora,all,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
172,"Proctor (1980) Checklist of the plants of Little Cayman. Geography and ecology of Little Cayman. Atoll Research Bulletin 241, 71–80.",Little Cayman,Checklist,all,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
175,"Stoddart & Fosberg (1994) Flora of the Phoenix Islands, central Pacific. Atoll Research Bulletin 393, 1–60.",Phoenix Islands,Flora,all,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
177,"Walker (1991) Pisonia Islands of the Great Barrier Reef. Atoll Research Bulletin 350, 31-41.",Lady Musgrave Island,Checklist,all,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
178,"Walker, Chaloupka & King (1991) Pisonia Islands of the Great Barrier Reef. Atoll Research Bulletin 350, 24-30.",Bushy and Redbill Islands,Checklist,all,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
179,"Wester (1985) Checklist of the vascular plants of the northern Line Islands. Atoll Research Bulletin 187, 1–38.",Northern Line Islands,Checklist,all,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
181,"Athens, Blinn & Ward (2007) Vegetation history of Laysan Island, Northwestern Hawaiian Islands. Pacific Science 61, 17-37.",Laysan,Checklist,native,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
182,"Fosberg (1949) Flora of Johnston Island, Central Pacific. Pacific Science 3, 338–339.",Johnston Island,Checklist,all,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
184,"St John (1960) Flora of Eniwetok Atoll. Pacific Science 14, 313-336.",Eniwetok,Checklist,all,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
